id,grade,year,season,measure,score
10810,8,2008,fall,rc,3.9
10810,8,2008,fall,lwid,8
10810,8,2008,fall,wa,10.2
10810,8,2008,fall,rf,4.4
10810,8,2008,fall,cap,7.2
10810,8,2008,fall,punc,6.3
10810,8,2008,fall,ue,7.2
10810,8,2008,fall,lang,6.9
10810,8,2008,fall,wf,5.3
10810,8,2008,fall,ws,3.5
10810,8,2008,fall,ce,3.9
10810,8,2008,fall,psdi,4.2
10810,8,2008,fall,comp,3.6
10810,8,2008,fall,maths,3.9
10810,8,2008,fall,calc,4.1
10810,8,2008,fall,mf,5
10810,8,2008,spring,rc,5.3
10810,8,2008,spring,lwid,7.2
10810,8,2008,spring,wa,18
10810,8,2008,spring,rf,6.1
10810,8,2008,spring,cap,6.4
10810,8,2008,spring,punc,2.4
10810,8,2008,spring,ue,3.6
10810,8,2008,spring,lang,4.1
10810,8,2008,spring,wf,7.1
10810,8,2008,spring,ws,9.7
10810,8,2008,spring,ce,4.2
10810,8,2008,spring,psdi,3.6
10810,8,2008,spring,comp,7.5
10810,8,2008,spring,maths,5
10810,8,2008,spring,calc,4.1
10810,8,2008,spring,mf,8.2
20810,4,2008,fall,rc,2.9
20810,4,2008,fall,lwid,4.8
20810,4,2008,fall,wa,4.3
20810,4,2008,fall,rf,4.7
20810,4,2008,fall,cap,1.1
20810,4,2008,fall,punc,3.1
20810,4,2008,fall,ue,2
20810,4,2008,fall,lang,2.1
20810,4,2008,fall,wf,3.3
20810,4,2008,fall,ws,2
20810,4,2008,fall,ce,2.1
20810,4,2008,fall,psdi,1.9
20810,4,2008,fall,comp,2.9
20810,4,2008,fall,maths,2.3
20810,4,2008,fall,calc,3.2
20810,4,2008,fall,mf,2.9
20810,4,2008,spring,rc,3.8
20810,4,2008,spring,lwid,5.2
20810,4,2008,spring,wa,6.8
20810,4,2008,spring,rf,8.7
20810,4,2008,spring,cap,2.8
20810,4,2008,spring,punc,2.2
20810,4,2008,spring,ue,2.6
20810,4,2008,spring,lang,2.4
20810,4,2008,spring,wf,4.2
20810,4,2008,spring,ws,5
20810,4,2008,spring,ce,3.4
20810,4,2008,spring,psdi,3
20810,4,2008,spring,comp,4.2
20810,4,2008,spring,maths,3.5
20810,4,2008,spring,calc,3.8
20810,4,2008,spring,mf,9.7
30810,7,2008,fall,rc,6.7
30810,7,2008,fall,lwid,8
30810,7,2008,fall,wa,5.5
30810,7,2008,fall,rf,9.7
30810,7,2008,fall,cap,7.8
30810,7,2008,fall,punc,13
30810,7,2008,fall,ue,9.2
30810,7,2008,fall,lang,10
30810,7,2008,fall,wf,7.7
30810,7,2008,fall,ws,7.6
30810,7,2008,fall,ce,5.9
