"id","grade","cal_year","measure","score","time","program_year","time_cont","student_year","domain_type","grade_diff","start_grade_diff","fall_score","spring_score","raw_growth","start_grade_diff_c","time_c"
"1000810",7,2009,"rc",9.7,1,1,1,"1000810_2009","reading",2.7,2.7,9.7,12.9,3.2,3.11878554700569,-1.04895489548955
"1000810",7,2009,"lwid",9.8,1,1,1,"1000810_2009","reading",2.8,2.8,9.8,11.3,1.5,3.21878554700569,-1.04895489548955
"1000810",7,2009,"wa",12.9,1,1,1,"1000810_2009","reading",5.9,5.9,12.9,7.5,-5.4,6.31878554700569,-1.04895489548955
"1000810",7,2009,"rf",9.2,1,1,1,"1000810_2009","reading",2.2,2.2,9.2,12.2,3,2.61878554700569,-1.04895489548955
"1000810",7,2009,"cap",5.2,1,1,1,"1000810_2009","writing",-1.8,-1.8,5.2,12.9,7.7,-1.38121445299431,-1.04895489548955
"1000810",7,2009,"punc",8.8,1,1,1,"1000810_2009","writing",1.8,1.8,8.8,9.7,0.899999999999999,2.21878554700569,-1.04895489548955
"1000810",7,2009,"ue",8.8,1,1,1,"1000810_2009","writing",1.8,1.8,8.8,12.9,4.1,2.21878554700569,-1.04895489548955
"1000810",7,2009,"lang",7.6,1,1,1,"1000810_2009","composite",0.6,0.6,7.6,11.9,4.3,1.01878554700569,-1.04895489548955
"1000810",7,2009,"wf",9.2,1,1,1,"1000810_2009","writing",2.2,2.2,9.2,12.9,3.7,2.61878554700569,-1.04895489548955
"1000810",7,2009,"ws",8.9,1,1,1,"1000810_2009","writing",1.9,1.9,8.9,12.9,4,2.31878554700569,-1.04895489548955
"1000810",7,2009,"ce",6.5,1,1,1,"1000810_2009","math",-0.5,-0.5,6.5,7.3,0.8,-0.0812144529943125,-1.04895489548955
"1000810",7,2009,"psdi",8.9,1,1,1,"1000810_2009","math",1.9,1.9,8.9,12.9,4,2.31878554700569,-1.04895489548955
"1000810",7,2009,"comp",3.7,1,1,1,"1000810_2009","composite",-3.3,-3.3,3.7,10.2,6.5,-2.88121445299431,-1.04895489548955
"1000810",7,2009,"maths",NA,1,1,1,"1000810_2009","other",NA,NA,NA,NA,NA,NA,-1.04895489548955
"1000810",7,2009,"calc",6.7,1,1,1,"1000810_2009","math",-0.3,-0.3,6.7,12.9,6.2,0.118785547005688,-1.04895489548955
"1000810",7,2009,"mf",6.9,1,1,1,"1000810_2009","math",-0.0999999999999996,-0.0999999999999996,6.9,12.9,6,0.318785547005688,-1.04895489548955
"1001517",6,2016,"rc",5.7,1,1,1,"1001517_2016","reading",-0.3,-0.3,5.7,8.7,3,0.118785547005688,-1.04895489548955
"1001517",6,2016,"lwid",8.9,1,1,1,"1001517_2016","reading",2.9,2.9,8.9,12.5,3.6,3.31878554700569,-1.04895489548955
"1001517",6,2016,"wa",12.9,1,1,1,"1001517_2016","reading",6.9,6.9,12.9,12.9,0,7.31878554700569,-1.04895489548955
"1001517",6,2016,"ed",8,1,1,1,"1001517_2016","other",2,2,8,9,1,2.41878554700569,-1.04895489548955
"1001517",6,2016,"wf",4.6,1,1,1,"1001517_2016","writing",-1.4,-1.4,4.6,7,2.4,-0.981214452994313,-1.04895489548955
"1001517",6,2016,"ws",8.4,1,1,1,"1001517_2016","writing",2.4,2.4,8.4,8.8,0.4,2.81878554700569,-1.04895489548955
"1001517",6,2016,"calc",8.4,1,1,1,"1001517_2016","math",2.4,2.4,8.4,8.7,0.299999999999999,2.81878554700569,-1.04895489548955
"1001517",6,2016,"comp",5.5,1,1,1,"1001517_2016","composite",-0.5,-0.5,5.5,9.7,4.2,-0.0812144529943125,-1.04895489548955
"1001517",6,2016,"psdi",5.2,1,1,1,"1001517_2016","math",-0.8,-0.8,5.2,8.3,3.1,-0.381214452994312,-1.04895489548955
"1001517",6,2016,"mf",7.2,1,1,1,"1001517_2016","math",1.2,1.2,7.2,9.5,2.3,1.61878554700569,-1.04895489548955
"1002325",6,2024,"rc",3.1,1,1,1,"1002325_2024","reading",-2.9,-2.9,3.1,5.3,2.2,-2.48121445299431,-1.04895489548955
"1002325",6,2024,"lwid",5.5,1,1,1,"1002325_2024","reading",-0.5,-0.5,5.5,7.8,2.3,-0.0812144529943125,-1.04895489548955
"1002325",6,2024,"wa",5.5,1,1,1,"1002325_2024","reading",-0.5,-0.5,5.5,9.9,4.4,-0.0812144529943125,-1.04895489548955
"1002325",6,2024,"rf",5.2,1,1,1,"1002325_2024","reading",-0.8,-0.8,5.2,8.2,3,-0.381214452994312,-1.04895489548955
"1002325",6,2024,"ws",5.6,1,1,1,"1002325_2024","writing",-0.4,-0.4,5.6,7,1.4,0.0187855470056872,-1.04895489548955
"1002325",6,2024,"we",3.8,1,1,1,"1002325_2024","other",-2.2,-2.2,3.8,7.6,3.8,-1.78121445299431,-1.04895489548955
"1002325",6,2024,"ed",4.7,1,1,1,"1002325_2024","other",-1.3,-1.3,4.7,11.7,7,-0.881214452994312,-1.04895489548955
"1002325",6,2024,"towl",3.2,1,1,1,"1002325_2024","other",-2.8,-2.8,3.2,4.4,1.2,-2.38121445299431,-1.04895489548955
"1002325",6,2024,"comp",2,1,1,1,"1002325_2024","composite",-4,-4,2,4.7,2.7,-3.58121445299431,-1.04895489548955
"1002325",6,2024,"ce",3.9,1,1,1,"1002325_2024","math",-2.1,-2.1,3.9,6.1,2.2,-1.68121445299431,-1.04895489548955
"1002325",6,2024,"calc",5,1,1,1,"1002325_2024","math",-1,-1,5,6.4,1.4,-0.581214452994312,-1.04895489548955
"1002325",6,2024,"mf",3.5,1,1,1,"1002325_2024","math",-2.5,-2.5,3.5,8.1,4.6,-2.08121445299431,-1.04895489548955
"100810",8,2008,"rc",3.9,1,1,1,"100810_2008","reading",-4.1,-4.1,3.9,7.5,3.6,-3.68121445299431,-1.04895489548955
"100810",8,2008,"lwid",9.8,1,1,1,"100810_2008","reading",1.8,1.8,9.8,10.4,0.6,2.21878554700569,-1.04895489548955
"100810",8,2008,"wa",12.9,1,1,1,"100810_2008","reading",4.9,4.9,12.9,12.9,0,5.31878554700569,-1.04895489548955
"100810",8,2008,"rf",10.2,1,1,1,"100810_2008","reading",2.2,2.2,10.2,12.9,2.7,2.61878554700569,-1.04895489548955
"100810",8,2008,"cap",7.2,1,1,1,"100810_2008","writing",-0.8,-0.8,7.2,12.9,5.7,-0.381214452994312,-1.04895489548955
"100810",8,2008,"punc",12.9,1,1,1,"100810_2008","writing",4.9,4.9,12.9,12.9,0,5.31878554700569,-1.04895489548955
"100810",8,2008,"ue",5.5,1,1,1,"100810_2008","writing",-2.5,-2.5,5.5,8.9,3.4,-2.08121445299431,-1.04895489548955
"100810",8,2008,"lang",8.6,1,1,1,"100810_2008","composite",0.6,0.6,8.6,11.6,3,1.01878554700569,-1.04895489548955
"100810",8,2008,"wf",10.1,1,1,1,"100810_2008","writing",2.1,2.1,10.1,12.9,2.8,2.51878554700569,-1.04895489548955
"100810",8,2008,"ws",8.9,1,1,1,"100810_2008","writing",0.9,0.9,8.9,9.4,0.5,1.31878554700569,-1.04895489548955
"100810",8,2008,"ce",7.3,1,1,1,"100810_2008","math",-0.7,-0.7,7.3,9,1.7,-0.281214452994313,-1.04895489548955
"100810",8,2008,"psdi",11,1,1,1,"100810_2008","math",3,3,11,10,-1,3.41878554700569,-1.04895489548955
"100810",8,2008,"comp",6.3,1,1,1,"100810_2008","composite",-1.7,-1.7,6.3,9.1,2.8,-1.28121445299431,-1.04895489548955
"100810",8,2008,"maths",8,1,1,1,"100810_2008","other",0,0,8,9.4,1.4,0.418785547005688,-1.04895489548955
"100810",8,2008,"calc",9.7,1,1,1,"100810_2008","math",1.7,1.7,9.7,12.2,2.5,2.11878554700569,-1.04895489548955
"100810",8,2008,"mf",18,1,1,1,"100810_2008","math",10,10,18,18,0,10.4187855470057,-1.04895489548955
"1010810",6,2009,"rc",3.2,1,1,1,"1010810_2009","reading",-2.8,-2.8,3.2,4.7,1.5,-2.38121445299431,-1.04895489548955
"1010810",6,2009,"lwid",11.6,1,1,1,"1010810_2009","reading",5.6,5.6,11.6,8.5,-3.1,6.01878554700569,-1.04895489548955
"1010810",6,2009,"wa",12.9,1,1,1,"1010810_2009","reading",6.9,6.9,12.9,12.9,0,7.31878554700569,-1.04895489548955
"1010810",6,2009,"rf",4.5,1,1,1,"1010810_2009","reading",-1.5,-1.5,4.5,8.4,3.9,-1.08121445299431,-1.04895489548955
"1010810",6,2009,"cap",2.3,1,1,1,"1010810_2009","writing",-3.7,-3.7,2.3,5.6,3.3,-3.28121445299431,-1.04895489548955
"1010810",6,2009,"punc",1.2,1,1,1,"1010810_2009","writing",-4.8,-4.8,1.2,6.6,5.4,-4.38121445299431,-1.04895489548955
"1010810",6,2009,"ue",5,1,1,1,"1010810_2009","writing",-1,-1,5,6.9,1.9,-0.581214452994312,-1.04895489548955
"1010810",6,2009,"lang",2.9,1,1,1,"1010810_2009","composite",-3.1,-3.1,2.9,6.4,3.5,-2.68121445299431,-1.04895489548955
"1010810",6,2009,"wf",3.6,1,1,1,"1010810_2009","writing",-2.4,-2.4,3.6,10.1,6.5,-1.98121445299431,-1.04895489548955
"1010810",6,2009,"ws",7,1,1,1,"1010810_2009","writing",1,1,7,9.4,2.4,1.41878554700569,-1.04895489548955
"1010810",6,2009,"ce",2.2,1,1,1,"1010810_2009","math",-3.8,-3.8,2.2,3,0.8,-3.38121445299431,-1.04895489548955
"1010810",6,2009,"psdi",2,1,1,1,"1010810_2009","math",-4,-4,2,4.1,2.1,-3.58121445299431,-1.04895489548955
"1010810",6,2009,"comp",1,1,1,1,"1010810_2009","composite",-5,-5,1,4.4,3.4,-4.58121445299431,-1.04895489548955
"1010810",6,2009,"maths",NA,1,1,1,"1010810_2009","other",NA,NA,NA,NA,NA,NA,-1.04895489548955
"1010810",6,2009,"calc",3.2,1,1,1,"1010810_2009","math",-2.8,-2.8,3.2,3,-0.2,-2.38121445299431,-1.04895489548955
"1010810",6,2009,"mf",1.3,1,1,1,"1010810_2009","math",-4.7,-4.7,1.3,3.1,1.8,-4.28121445299431,-1.04895489548955
"1011517",4,2016,"rc",1.9,1,1,1,"1011517_2016","reading",-2.1,-2.1,1.9,2.2,0.3,-1.68121445299431,-1.04895489548955
"1011517",4,2016,"lwid",2.1,1,1,1,"1011517_2016","reading",-1.9,-1.9,2.1,3.9,1.8,-1.48121445299431,-1.04895489548955
"1011517",4,2016,"wa",2.5,1,1,1,"1011517_2016","reading",-1.5,-1.5,2.5,4.8,2.3,-1.08121445299431,-1.04895489548955
"1011517",4,2016,"ed",1.8,1,1,1,"1011517_2016","other",-2.2,-2.2,1.8,4.3,2.5,-1.78121445299431,-1.04895489548955
